VR查看当前执行列表，加入演练执行,数字孪生,,VR查看当前执行列表，加入演练执行,特性级,P0,国网湖北省电力,RR_1172,否,2023年7月28日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
VR操作集考试,数字孪生,,VR操作集考试,特性级,P0,国网湖北省电力,RR_1173,否,2023年7月28日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,3D设备目录与工程组态不统一 -- 标题栏显示完整空间路径,优化级,P2,,RR_1174,否,2023年7月28日,2023年8月24日,2023年8月24日,,UI设计,已完成,,需求池规划
,数字孪生,,3D设备详情页，拖动应该更自由一点。模型一直缩放，建议缩放到1/10的位置 -- 设备详情增加 摄影机位置的限制,优化级,P2,,RR_1175,否,2023年7月28日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
TDVS增加仿真模式，所有数据从仿真取，控制走仿真控制,数字孪生,,TDVS增加仿真模式，所有数据从仿真取，控制走仿真控制,特性级,P2,,RR_1176,否,2023年7月28日,2023年8月24日,2023年8月24日,,UI设计,已完成,,需求池规划
,数字孪生,,TDDD区分仿真模式的样式、提示“仿真模式”,优化级,P2,,RR_1177,否,2023年7月28日,2023年8月24日,2023年8月24日,,UI设计,已完成,,需求池规划
数字模型上进行仿真预演,数字孪生,,数字模型上进行仿真预演,模块级,P2,,RR_1180,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,*选取设备连线，在弹出的配线信息面板中点击对端设备，应直接进入设备信息面板，而非进入设备所在机柜的单机柜视图,优化级,P2,,RR_1186,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,删除机柜列图元和层级（拓展机柜，保留微模块）,优化级,P2,,RR_1201,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,*机柜绑定门只有一个测点，一般是有前后门（云南电力就有前后门状态监测）,优化级,P2,,RR_1202,否,2023年8月1日,2023年8月24日,2023年8月24日,,发布,已完成,,需求池规划
,数字孪生,,3D微模块筛选子系统后通道会隐藏（如果使用单独的微模块通道无门天窗等绑定）—— 1. 删除微模块通道 2. 微模块在子系统筛选时，保留微模块通道,优化级,P2,,RR_1203,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,TDCE拖拽添加设备时，可选择不同设备模板,优化级,P2,,RR_1208,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,CFD中，列头柜之类加入到运算模型,优化级,P2,,RR_1234,否,2023年8月1日,2023年8月24日,2023年8月24日,,发布,已取消,,需求池规划
,数字孪生,,TDPE中的面板编辑器，隐藏设备【深】属性，宽/高数据与TDAM自动同步,优化级,P2,,RR_1241,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
,数字孪生,,TDAM中应支持在架设备的【宽/高/深】编辑，并在模型中映射该属性,优化级,P2,,RR_1242,否,2023年8月1日,2023年8月24日,2023年8月24日,,需求,已完成,,需求池规划
